Building,Capacity,y,x
Animal Biosciences Building,391,45.66921685,-111.0532100557
A.J.M. Johnson Hall,325,45.6658464,-111.04837505
EPS Building,1153,45.6658053,-111.0460922522
Black Box Theater,127,45.6654066,-111.0512553234
Chemistry and Biochemistry Research Building,290,45.66924955,-111.0496875225
Cheever Hall,808,45.6668745,-111.053020335
Cobleigh Hall,701,45.6665024,-111.0458928508
Gaines Hall,1230,45.66553385,-111.0504682402
Hamilton Hall,201,45.6675268,-111.0478808162
Haynes Hall,284,45.66738835,-111.0531633
Herrick Hall,312,45.66866295,-111.0474370589
Howard Hall,523,45.66634145,-111.0527539884
Jabs Hall,571,45.66906,-111.048771
Leon Johnson Hall,757,45.66789565,-111.0500675075
Lewis Hall,521,45.6675696,-111.0508620995
Linfield Hall,882,45.66856885,-111.0513085432
Montana Hall,192,45.66751005,-111.0493107109
Marga Hosaeus Health and Physical Education Complex,253,45.6644202,-111.0497589268
Museum of the Rockies,445,45.6587136,-111.0456109328
Plant Biosciences Building,126,45.66886565,-111.0526965617
Plant Growth Center,121,45.66831515,-111.0531116133
Reid Hall,1873,45.66656685,-111.0498408196
Renne Library,148,45.666614,-111.0486671083
Roberts Hall,958,45.6667791,-111.0460011085
Romney Gym,257,45.665423,-111.0493915455
Strand Union Building,500,45.665423,-111.0493915455
Sherrick Hall,195,45.6668213,-111.0510948511
Taylor Hall,39,45.66789515,-111.0515366929
Traphagen Hall,273,45.66646575,-111.05038635
Visual Communications Building,460,45.66568335,-111.05147258
Wilson Hall,1732,45.668168,-111.048374
